Date,Adjusted Close
2025-03-13,209.68
2025-03-12,216.98
2025-03-11,220.84
2025-03-10,227.48
2025-03-07,239.07
2025-03-06,235.33
2025-03-05,235.74
2025-03-04,235.93
2025-03-03,238.03
2025-02-28,241.84
2025-02-27,237.3
2025-02-26,240.36
2025-02-25,247.04
2025-02-24,247.1
2025-02-21,245.55
2025-02-20,245.83
2025-02-19,244.87
2025-02-18,244.47
2025-02-14,244.6
2025-02-13,241.53
2025-02-12,236.87
2025-02-11,232.62
2025-02-10,227.65
2025-02-07,227.380296182536
2025-02-06,232.964164107064
2025-02-05,232.214986836332
2025-02-04,232.544624835454
2025-02-03,227.759879333041
2025-01-31,235.741114523914
2025-01-30,237.329370337867
2025-01-29,239.097428696797
2025-01-28,237.998635366389
2025-01-27,229.607849934182
2025-01-24,222.535616498464
2025-01-23,223.414651162791
2025-01-22,223.58446467749
2025-01-21,222.395770074594
2025-01-17,229.727718297499
2025-01-16,228.009605089952
2025-01-15,237.609063185608
2025-01-14,233.024098288723
2025-01-13,234.142869679684
2025-01-10,236.590182097411
2025-01-08,242.433764809127
2025-01-07,241.944302325581
2025-01-06,244.731241772707
2025-01-03,243.093040807372
2025-01-02,243.582503290917
2024-12-31,250.145296182536
2024-12-30,251.923343571742
2024-12-27,255.309624835454
2024-12-26,258.735862220272
2024-12-24,257.916761737604
2024-12-23,254.989975866608
2024-12-20,254.210831505046
2024-12-19,249.515987275121
2024-12-18,247.777896007021
2024-12-17,253.201939447126
2024-12-16,250.764616059675
2024-12-13,247.857808249232
2024-12-12,247.687994734533
2024-12-11,246.219607283896
2024-12-10,247.49820315928
2024-12-09,246.479322071084
2024-12-06,242.573611232997
2024-12-05,242.773391838526
2024-12-04,242.743424747696
2024-12-03,242.383819657745
2024-12-02,239.327176393155
2024-11-29,237.06965555068
2024-11-27,234.672288284335
2024-11-26,234.802145677929
2024-11-25,232.614548047389
2024-11-22,229.617838964458
2024-11-21,228.269319877139
2024-11-20,228.748793330408
2024-11-19,228.029583150505
2024-11-18,227.769868363317
2024-11-15,224.753181219833
2024-11-14,227.969648968846
2024-11-13,224.873049583151
2024-11-12,223.984025888548
2024-11-11,223.984025888548
2024-11-08,226.711031154015
2024-11-07,226.980438215375
2024-11-06,222.230891503993
2024-11-05,222.959288373595
2024-11-04,221.522450713009
2024-11-01,222.420474250876
2024-10-31,225.413886043763
2024-10-30,229.594684514497
2024-10-29,233.156844548033
2024-10-28,232.887437486673
2024-10-25,230.901807664058
2024-10-24,230.063652362049
2024-10-23,230.253235108932
2024-10-22,235.342035156841
