,Date,Open,High,Low,Close,Volume
0,2025-03-14,81071.5,81290.57,80771.17,81199.41,127.02829351
1,2025-03-13,83659.45,84310.8,79890.0,81073.43,10504.15100874
2,2025-03-12,82911.81,84442.69,80572.21,83659.43,12612.03125479
3,2025-03-11,78548.18,83600.0,76555.0,82914.51,17096.37980265
4,2025-03-10,80708.21,84033.66,77389.0,78544.71,21375.10120997
5,2025-03-09,86206.64,86480.0,80000.0,80699.17,7565.44749561
6,2025-03-08,86753.3,86863.38,85200.0,86206.69,3023.2478665
7,2025-03-07,89915.02,91280.0,84608.27,86756.98,27137.2022302
8,2025-03-06,90607.73,92817.29,87790.5,89921.85,13302.87500105
9,2025-03-05,87247.93,91000.0,86329.22,90603.73,14900.93396554
10,2025-03-04,86161.09,88977.27,81444.0,87249.96,23130.37098654
11,2025-03-03,94265.47,94415.61,85007.01,86161.1,22691.67068614
12,2025-03-02,86018.82,95128.88,85003.35,94265.48,16751.22972996
13,2025-03-01,84297.74,86534.96,83772.54,86018.76,6852.5441262
14,2025-02-28,84627.5,85116.19,78167.81,84297.73,30755.74245077
15,2025-02-27,84111.77,86993.87,82554.11,84625.19,16836.55524727
16,2025-02-26,88583.17,89305.68,82111.12,84111.78,21568.55463119
17,2025-02-25,91509.88,92549.99,85836.18,88583.74,31587.91715546
18,2025-02-24,96266.23,96515.41,91300.0,91510.82,12644.0435007
19,2025-02-23,96578.49,96679.93,95243.91,96265.98,3787.84705335
20,2025-02-22,96157.03,96982.52,95767.95,96582.12,7324.02366243
21,2025-02-21,98347.2,99517.52,94721.92,96157.03,19298.23921958
22,2025-02-20,96632.03,98768.54,96419.07,98347.2,10582.84622768
23,2025-02-19,95612.97,96880.0,95000.01,96632.03,6945.44897339
24,2025-02-18,95781.8,96730.0,93333.0,95607.4,8867.39878431
25,2025-02-17,96119.88,97050.64,95200.0,95781.8,3533.01273263
26,2025-02-16,97596.54,97738.22,96057.68,96119.88,2174.29326885
27,2025-02-15,97507.94,97997.85,97225.01,97596.94,1626.51929078
28,2025-02-14,96625.29,98890.11,96268.56,97509.03,7744.67640105
29,2025-02-13,97864.28,98100.0,95220.0,96625.29,6803.6078927
30,2025-02-12,95770.95,98119.98,94066.92,97862.53,9078.50356189
31,2025-02-11,97451.66,98500.0,94831.07,95774.08,7737.05105717
32,2025-02-10,96481.47,98367.23,95257.2,97444.41,6375.72539123
33,2025-02-09,96476.24,97342.28,94730.67,96475.82,3417.87009701
34,2025-02-08,96536.93,96919.05,95682.33,96476.25,2972.45715184
35,2025-02-07,96575.24,100235.79,95614.96,96537.08,12171.82534167
36,2025-02-06,96635.62,99182.15,95674.96,96564.62,9168.94674634
