Date,EMA
2024-04-05,180.3643
2024-04-04,179.9164
2024-04-03,179.0089
2024-04-02,178.8109
2024-04-01,178.7533
2024-03-28,178.3007
2024-03-27,177.8853
2024-03-26,177.4421
2024-03-25,176.8403
2024-03-22,176.5804
2024-03-21,176.3201
2024-03-20,175.505
2024-03-19,175.3638
2024-03-18,175.6191
2024-03-15,175.5789
2024-03-14,175.3432
2024-03-13,174.8216
2024-03-12,174.582
2024-03-11,174.8225
2024-03-08,174.9363
2024-03-07,174.6022
2024-03-06,174.5516
2024-03-05,174.3319
2024-03-04,173.7545
2024-03-01,172.9156
2024-02-29,172.0635
2024-02-28,171.8531
2024-02-27,171.7227
2024-02-26,171.2
2024-02-23,170.1999
2024-02-22,169.2933
2024-02-21,168.4473
2024-02-20,168.3378
2024-02-16,168.4507
2024-02-15,168.3864
2024-02-14,167.8989
2024-02-13,167.6076
2024-02-12,167.5804
2024-02-09,165.976
2024-02-08,164.8818
2024-02-07,163.8222
2024-02-06,162.5649
2024-02-05,161.0483
2024-02-02,159.0145
2024-02-01,156.7533
2024-01-31,156.9496
2024-01-30,156.9384
2024-01-29,156.1025
2024-01-26,155.3831
2024-01-25,154.7082
2024-01-24,154.21
2024-01-23,153.4123
2024-01-22,153.0928
2024-01-19,152.249
2024-01-18,151.8976
2024-01-17,151.7038
2024-01-16,151.7513
2024-01-12,151.356
2024-01-11,150.4595
2024-01-10,149.4417
2024-01-09,148.8598
2024-01-08,148.9775
2024-01-05,149.4748
2024-01-04,150.538
2024-01-03,151.6376
2024-01-02,152.1793
2023-12-29,152.3214
2023-12-28,152.1483
2023-12-27,151.7991
2023-12-26,151.4078
2023-12-22,150.9295
2023-12-21,150.2983
2023-12-20,149.6312
2023-12-19,148.9048
2023-12-18,147.6836
2023-12-15,147.0445
2023-12-14,146.7477
2023-12-13,146.0405
2023-12-12,145.5784
2023-12-11,145.5913
2023-12-08,145.5761
2023-12-07,145.5974
2023-12-06,145.4746
2023-12-05,145.0068
2023-12-04,145.3305
2023-12-01,145.3484
2023-11-30,145.2036
2023-11-29,145.3022
2023-11-28,144.736
2023-11-27,144.2374
2023-11-24,143.5057
2023-11-22,142.7958
2023-11-21,142.4016
2023-11-20,142.0663
2023-11-17,141.3855
2023-11-16,141.1023
2023-11-15,141.1451
2023-11-14,139.8306
2023-11-13,138.6819
2023-11-10,137.9267
2023-11-09,137.3638
2023-11-08,136.3291
2023-11-07,134.8533
2023-11-06,133.5874
2023-11-03,132.4379
2023-11-02,130.9819
2023-11-01,129.2601
2023-10-31,128.2157
2023-10-30,127.2081
2023-10-27,126.6499
2023-10-26,126.7498
2023-10-25,128.1098
2023-10-24,128.5697
2023-10-23,128.7541
2023-10-20,129.6706
2023-10-19,130.0307
2023-10-18,129.912
2023-10-17,129.9147
2023-10-16,129.809
2023-10-13,129.6133
2023-10-12,128.8651
2023-10-11,128.1307
2023-10-10,127.7731
2023-10-09,127.5404
2023-10-06,127.8339
2023-10-05,128.6503
2023-10-04,129.0814
2023-10-03,129.7529
2023-10-02,130.1291
2023-09-29,130.7622
2023-09-28,131.3316
2023-09-27,132.9519
2023-09-26,134.5501
2023-09-25,135.5346
2023-09-22,136.9067
2023-09-21,138.1949
2023-09-20,139.5848
2023-09-19,139.8148
2023-09-18,140.0625
2023-09-15,139.9698
2023-09-14,139.3653
2023-09-13,138.0953
2023-09-12,137.4609
2023-09-11,136.3811
2023-09-08,135.8547
2023-09-07,135.6313
2023-09-06,136.0161
2023-09-05,135.9485
2023-09-01,135.5527
2023-08-31,134.6855
2023-08-30,134.6022
2023-08-29,134.5294
2023-08-28,134.7848
2023-08-25,135.0081
2023-08-24,135.5721
2023-08-23,135.3882
2023-08-22,135.5855
2023-08-21,135.6979
2023-08-18,136.133
2023-08-17,137.1358
