Date,Adjusted Close
2025-03-13,378.77
2025-03-12,383.27
2025-03-11,380.45
2025-03-10,380.16
2025-03-07,393.31
2025-03-06,396.89
2025-03-05,401.02
2025-03-04,388.61
2025-03-03,388.49
2025-02-28,396.99
2025-02-27,392.53
2025-02-26,399.73
2025-02-25,397.9
2025-02-24,404.0
2025-02-21,408.21
2025-02-20,416.13
2025-02-19,413.944359410975
2025-02-18,408.824571181888
2025-02-14,407.616979806216
2025-02-13,409.722779643131
2025-02-12,408.225765541059
2025-02-11,410.620988104375
2025-02-10,411.399435437452
2025-02-07,408.93435221604
2025-02-06,414.992269282425
2025-02-05,412.46730549693
2025-02-04,411.549136847659
2025-02-03,410.102023215656
2025-01-31,414.233782137375
2025-01-30,414.163921479279
2025-01-29,441.449498513047
2025-01-28,446.309804297774
2025-01-27,433.694965464313
2025-01-24,443.176054777437
2025-01-23,445.820779691098
2025-01-22,445.311794896393
2025-01-21,427.647028491942
2025-01-17,428.175973474674
2025-01-16,423.734831638527
2025-01-15,425.461387902916
2025-01-14,414.842567872218
2025-01-13,416.359542162318
2025-01-10,418.116038708749
2025-01-08,423.714871450499
2025-01-07,421.529230861474
2025-01-06,426.998322381044
2025-01-03,422.507280074827
2025-01-02,417.746775230238
2024-12-31,420.660962682272
2024-12-30,423.984333988872
2024-12-27,429.672987576746
2024-12-26,437.237898839217
2024-12-24,438.455470308903
2024-12-23,434.383591951266
2024-12-20,435.730904643131
2024-12-19,436.160048685725
2024-12-18,436.519332070223
2024-12-17,453.555352551804
2024-12-16,450.691065569839
2024-12-13,446.379664955871
2024-12-12,448.665106485035
2024-12-11,448.096241126247
2024-12-10,442.447507914428
2024-12-09,445.132153204144
2024-12-06,442.68703017076
2024-12-05,441.738921239448
2024-12-04,436.549272352264
2024-12-03,430.341653875672
2024-12-02,430.122091807368
2024-11-29,422.617061108979
2024-11-27,422.14799669033
2024-11-26,427.138043697237
2024-11-25,417.956357204528
2024-11-22,416.169920376055
2024-11-21,412.04814154835
2024-11-20,413.830994275862
2024-11-19,416.121810629647
2024-11-18,414.099916195654
2024-11-15,413.342950791794
2024-11-14,425.185475333757
2024-11-13,423.502223317279
2024-11-12,421.340887887838
2024-11-11,416.340932193923
