Date,EMA
2024-04-05,418.6497
2024-04-04,419.0496
2024-04-03,418.44
2024-04-02,418.8551
2024-04-01,419.2786
2024-03-28,418.9492
2024-03-27,419.2062
2024-03-26,418.7527
2024-03-25,417.9404
2024-03-22,417.0292
2024-03-21,414.9319
2024-03-20,412.3398
2024-03-19,410.8987
2024-03-18,410.0569
2024-03-15,409.8177
2024-03-14,408.4137
2024-03-13,406.4882
2024-03-12,404.6068
2024-03-11,404.6187
2024-03-08,405.4846
2024-03-07,405.6165
2024-03-06,406.1836
2024-03-05,407.5715
2024-03-04,406.8439
2024-03-01,406.0693
2024-02-29,405.6012
2024-02-28,405.609
2024-02-27,405.7212
2024-02-26,405.8992
2024-02-23,405.3524
2024-02-22,403.7546
2024-02-21,403.0103
2024-02-20,404.3105
2024-02-16,405.2225
2024-02-15,405.2963
2024-02-14,405.3467
2024-02-13,405.4237
2024-02-12,406.3715
2024-02-09,404.0923
2024-02-08,402.4744
2024-02-07,400.7613
2024-02-06,400.1226
2024-02-05,399.6854
2024-02-02,398.266
2024-02-01,397.8719
2024-01-31,397.8262
2024-01-30,396.6409
2024-01-29,394.0255
2024-01-26,392.1937
2024-01-25,390.327
2024-01-24,388.0564
2024-01-23,385.8933
2024-01-22,384.5241
2024-01-19,381.9106
2024-01-18,379.6542
2024-01-17,377.7858
2024-01-16,376.3255
2024-01-12,373.2903
2024-01-11,371.3791
2024-01-10,368.931
2024-01-09,368.0589
2024-01-08,367.9528
2024-01-05,368.4198
2024-01-04,369.0632
2024-01-03,369.4763
2024-01-02,370.3457
2023-12-29,370.3405
2023-12-28,369.8631
2023-12-27,369.4182
2023-12-26,369.2444
2023-12-22,368.7435
2023-12-21,368.4219
2023-12-20,368.2755
2023-12-19,367.5593
2023-12-18,367.4566
2023-12-15,367.7803
2023-12-14,368.7483
2023-12-13,368.5092
2023-12-12,367.6204
2023-12-11,367.6722
2023-12-08,368.2574
2023-12-07,368.814
2023-12-06,369.7079
2023-12-05,369.6314
2023-12-04,371.0988
2023-12-01,372.3089
2023-11-30,372.1015
2023-11-29,371.4673
2023-11-28,369.5319
2023-11-27,368.3574
2023-11-24,367.2675
2023-11-22,365.8144
2023-11-21,363.8909
2023-11-20,362.0528
